Weight (gram),Length (cm),Volume (ml)
22.483570765056164,10.036982697904095,63.71145873371309
19.308678494144075,12.92420694852654,53.9601481328418
23.23844269050346,12.39811939114694,60.865897874729
27.61514928204013,10.79956624568241,58.44322764607921
18.82923312638332,12.139604169980036,71.67782061659807
18.8293152152541,11.22937280627648,62.54420843301213
27.896064077536955,12.227034690502496,63.37602662075202
23.837173645764544,13.324261349042091,55.881230338775325
17.65262807032524,15.172033632290704,55.123937759275066
22.712800217929825,9.5243690023463,55.67441812180379
17.682911535937688,16.266066749312532,63.944521423782966
17.671351232148716,8.095824400954996,55.79015519179737
21.20981135783017,11.696429809928834,62.89774856896413
10.43359877671101,13.176634412969154,80.75400798645438
11.375410837434837,12.561983735470063,68.71124703431693
17.188562353795135,10.754600960358813,56.73976467832159
14.93584439832788,11.58375549928545,72.01213922163944
21.571236662976368,11.013998130682335,55.91924626978449
15.459879622393943,10.821270486111576,39.61875464822146
12.938481493323543,13.69920419404205,49.91913689082596
27.32824384460777,12.714030971930097,41.29208078974145
18.871118497567323,10.614180809478691,56.48486515958692
20.33764102343962,13.7991997508665,60.18418379189552
12.876259068932717,12.614599041753218,76.76437312275283
17.278086377374088,13.62572423767792,63.269273737641626
20.55461294854933,13.259257683847224,57.80899471191136
14.245032112888486,10.342009978155856,68.2940558118349
21.87849009172836,10.87963791960606,37.88864690992115
16.996806550405974,13.494587210246523,62.356145581085656
18.54153125103361,13.22074053086693,67.70865193886966
16.991466938853016,11.958196812071703,45.214137542201584
29.261390922544688,12.234654766617563,71.43754043206928
19.93251387631033,14.555329791576847,63.38496407494414
14.711445355220498,10.81685722232834,55.84712086099199
24.112724560515943,13.094194762340075,66.32781866106285
13.895781750144888,11.595614695132213,82.70692857804396
21.044317975023777,11.56463759354556,61.81866255058495
10.201649380601122,14.19755370397438,62.48220586300336
13.359069755507846,13.65083269797606,55.40639100459756
20.984306179345616,13.627019272001275,51.50155630535208
23.692332899977053,14.610957614308658,68.30335816544246
20.85684140594985,12.04200768326552,51.43916174091133
19.4217585880588,13.363905942589929,60.715662372193925
18.494481522053555,11.379466486813088,55.223425532348834
12.607390048162864,12.648332704976884,64.78979825746391
16.400778958026457,11.73971389126463,63.33662105286948
17.696806145201062,12.193991929985437,70.375399442579
25.285611131094576,13.190314050873829,54.89983601145253
21.71809144784231,10.363558633533057,57.30125064706629
11.18479922318633,16.18477455137092,50.21236284217693
21.620419846973974,9.987965237000596,55.55706739923888
18.074588597918417,9.571622774424537,63.77300493044852
16.615389998470206,14.316221747000135,67.56988616645351
23.05838144420434,13.583325387925871,50.77834675822375
25.15499761247976,13.24823963410431,68.6960592010566
24.656400595581,13.25669101852856,73.55637858804951
15.803912383886807,11.97550645430617,64.13434903223701
18.453938120743928,10.205491257028337,78.76795812558066
21.65631715701782,12.151609116387451,52.26210800896427
24.8777256356118,10.645676576975776,47.55345296688583
17.60412881077355,13.950239466835502,42.212797510957216
19.07170511668092,11.705885236995725,74.96044311489183
14.46832512996986,10.349005606414975,66.54365656354058
14.018966879596649,11.357228316694012,59.44415329089545
24.062629111970992,12.82586290855125,62.79968626319821
26.781200142854114,10.87255089439205,48.74510952701623
19.63994939209833,10.355559208867136,84.45751979616827
25.01766448946012,12.487374422983825,61.29221181975228
21.80818012523817,12.489933142217446,61.09394794604893
16.77440122697438,10.98611364925774,67.25766623898691
21.80697802754207,11.057923388763356,64.81009231736714
27.69018283232985,12.464099874715272,62.23884024279131
19.820869804450243,9.103831317005351,52.09525544554688
27.82321827907003,9.185072451246889,64.71468357135996
6.901274479551278,10.563111557495128,78.82024496475034
24.10951252187612,11.573105696576306,73.45420046154977
20.435235341190857,12.621815131196009,75.93186626639397
18.504963247670663,14.950712433899104,54.88784323568815
20.45880388267751,13.71531924640404,50.10395179741419
10.062155426995536,11.680122940073144,58.74213079900352
18.90164056081244,11.961967584194625,60.557249122886944
21.78556285755873,9.994941270724382,70.94191518470949
27.38947022370758,11.96297372801522,43.07535370285181
17.40864890863176,11.422682722159724,75.29550319460614
15.95753198553406,12.64543712067618,58.4199210142101
17.491214782077318,10.345538112895357,55.7311893005258
24.57701058851037,13.038693028482344,49.87895624739832
21.643755548298422,15.065477826005155,43.451433281342304
17.351198981164806,11.782479703086285,68.23170583961914
22.56633716556678,12.803423444197882,60.73317967188404
20.4853877467402,13.380287983422225,47.10039100258946
24.84322495266445,11.197559056228329,47.04921227936384
16.489734530613237,12.448184963620834,56.64215300709872
18.36168926701116,12.02518480156359,76.69021525289392
18.03945923433921,12.195352197097664,57.40408648636395
12.682425259339407,10.453980432289066,44.96857046881894
21.48060138532288,12.049020348517884,57.54256935914056
21.305276360899448,12.9959965824909,57.27276430252329
20.025567283212304,14.902287215590084,33.03113357058429
18.827064333124262,13.918541652170411,59.45705133482188
12.92314628974793,16.306364915023114,57.69065469791322
17.896773386173205,10.4653048742239,66.96206364813418
18.286427417366152,13.744641273441356,78.48956094945345
15.988613653891903,12.366684011476703,71.26565029547757
19.19357144166996,16.379605866435345,57.31111309445169
22.02025428407269,10.383403429289697,48.934740912583294
29.43092950605265,10.320556315638449,85.7335980324986
20.8728890641592,10.801214709111957,60.59218434014488
21.28775195361382,7.752208551380386,60.13929291912946
19.627770421169163,10.948489956638475,59.75874912889997
10.406143923504793,10.481734676892604,61.98084760767855
19.867430622753915,12.300787572952416,58.556395880760576
20.301151049705133,12.68351195155432,54.26337993119763
32.316210562426434,15.752341678431772,54.53141058759608
19.038195176094387,13.9008476763721,59.672467297840015
21.507736711668063,10.846192688675194,54.56575228866235
19.826441151473784,10.203170657303284,52.87154217322836
14.15660981190234,12.983838343013012,61.064302276918966
